Material,Descripcio,Format_UMA,ZCE_per_unitat,ZCE_per_palet,Unitats_per_palet
0AM1279,BARGALLO ACEITE ARBEQUINA 3L LATA,UN,0.39,,
0AM1280,BARGALLO ACEITE DE ORUJO EXTRA 5L,UN,0.65,65.0,100.0
0AM1281,BARGALLO OLIVA SANSA SUAVE 5L,UN,0.65,97.5,150.0
0AM1282,BARGALLO OLI GIRASOL 5L,UN,0.65,97.5,150.0
0AM1284,BARGALLO OLI FRIT FRIT 10L,UN,1.3,97.5,75.0
0AM1290,XPLICIT AZUCAR 7GR  1000U,CAJ,0.91,73.71,81.0
0AM1290,XPLICIT AZUCAR 7GR  1000U,ZPR,0.91,73.71,81.0
0AM1291,AZUCAR BLANCO BOLSITA 7GR ''BARES''1000U,CAJ,0.91,,
0AM1297,BARGALLO ACEITE PICUAL PREMIUM 500ML,UN,0.07,,
0AM1309,POLA SAL SAL FINA DE MESA 25 KG.,UN,3.25,162.5,50.0
0AM1322,PONS TRUFA NEGRA 25 CL.,UN,0.03,4.8,160.0
0AM1325,SAL COSTA SAL GRUESA DE MESA 5 KG.,UN,0.65,32.5,50.0
0AM1338,LEYENDA REMOLACHA RALLADA 370ML,UN,0.05,20.0,400.0
0AM1350,MALDON SAL MARINA EN ESCAMAS 250 G.,UN,0.03,21.6,720.0
0AM1361,CERVANTES FIDEOS CHOCOLATE 250 G,UN,0.03,64.8,2160.0
0AM1381,GALLO CANELONES  500 PLACAS,CAJ,0.52,67.6,130.0
0AM1399,ITAC PIÑON MONDADO BASIC 1KG,UN,0.13,7.02,54.0
0AM1405,ESPINALER SALSERA BAR COLL 200ML,UN,0.03,19.44,648.0
0AM1406,"ESPINALER ACEITUNAS RELLENA 1,4KG",UN,0.18,90.72,504.0
0AM1421,ESPINALER  PACK GARBI   12,CAJ,0.13,8.32,64.0
0AM1423,GALLO FIDEO Nº2 3KG,CAJ,0.39,52.65,135.0
0AM1443,JUANFRA ACEITUNAS MANZANILLA 3KG,UN,0.39,0.39,1.0
0AM1460,GANCEDO PIPAS PELADAS FRITAS 1KG,CAJ,0.13,0.13,1.0
0AM1474,BARGALLO OLI VERGE EXTRA GUINDILLA 250ML,UN,0.03,,
0AM1484,BARGALLO VINAGRE VINO TINT MARASCA 25CL,UN,0.03,54.0,1800.0
0AM1490,BARGALLO VINAGRE BALSAMIC MODENA 250ML,UN,0.03,4.5,150.0
0AM1498,"BARGALLO ACEITUNA PERDIGON ANCHOA 2,5KG",UN,0.33,,
0AM1521,BARGALLO OLIVA V.E COUPAG MARASC 250ML,UN,0.03,54.0,1800.0
0AM1522,BARGALLO ACEITE ARBEQUINA (MARASCA)250ML,UN,0.03,1.2,40.0
0AM1523,BARGALLO OLIVA V.EXTRA COUPAGE 500ML,UN,0.07,,
0AM1537,ESPINALER SARDINA PREM RR125 20/25,UN,0.02,43.2,2160.0
0AM1551,HELIOS MERMELADA FRUTAS DEL BOSQUE 340G,UN,0.04,64.0,1600.0
0AM1552,AZUCARERA AZUCAR BOLSA DE PAPEL 1KG,UN,0.13,,
0AM1553,"GALLO HARINA TRIGO2,5KG",UN,0.33,99.0,300.0
0AM1569,TABASCO ROJO 60ML,UN,0.01,,
0AM1570,TABASCO ROJO 150ML,UN,0.02,,
0AM1589,LAS MONTAÑAS MIEL MILFLORES 1KG,UN,0.13,74.88,576.0
0AM1598,BAYO ARROZ BOMBA 5 KG,UN,0.65,109.2,168.0
0AM15992,GARDENY CREMA BALSAMICA  MODENA 500ML,UN,0.07,75.6,1080.0
0AM1601,ESPINALER BERBERECHOS OL120 65/85,UN,0.02,,
0AM1604,RIOJAVINA VINAGRE BALSAMICO D MODENA 5L,UN,0.65,98.8,152.0
0AM1605,CHOVI CHEDDAR 25CL,UN,0.03,50.4,1680.0
0AM1610,GIMAR MAGDALENA CASERA 710G 9U,CAJ,0.83,,
0AM1613,EL PAVO ESPAGHETTIS 6KG,UN,0.78,74.88,96.0
0AM1614,EL PAVO TALLARINES 6KG,UN,0.78,74.88,96.0
0AM1615,ROMERO MACARRONES PLUMAS Nº5 HOST. 5KG,UN,0.65,78.0,120.0
0AM1616,ROMERO ESPAGUETIS HOSTELERIA 5KG,UN,0.65,130.0,200.0
0AM1617,ROMERO TALLARINES HOSTELERIA 5KG,UN,0.65,130.0,200.0
0AM1619,ITAC NUEZ PELADA USA SELEC.1KG (NUEVO),UN,0.13,7.02,54.0
0AM1623,LA LECHERA LECHE CONDENSAD ANTIGOTEO450G,UN,0.06,6.0,100.0
0AM1625,LA LECHERA LECHE CONDENSADA 740G,UN,0.1,,
0AM1630,SARRIEGUI PATATAS FRITA  40G 20U,CAJ,0.1,,
0AM1631,BAYMAR BERBERECHOS NATURAL 25/35 F.A.,UN,0.02,10.0,500.0
0AM1634,XPLICIT EDULCORANTE 1G 150U,CAJ,0.02,21.6,1080.0
0AM1634,XPLICIT EDULCORANTE 1G 150U,ZPR,0.02,21.6,1080.0
0AM1635,NASSARI ANCHOAS ACEITE GIRASOL 320G,UN,0.04,20.0,500.0
0AM1636,NASSARI BOQUERON AROMA AJO Y PEREJIL 250,UN,0.03,15.0,500.0
0AM1875,PRESIDENT NATA COCINAR 12% MG 1L,UN,0.13,,
0AM1878,VERISOL TOMATE TRITURADO 1KG,UN,0.13,,
0AM1879,VERISOL TOMATE FRITO 1KG,UN,0.13,,
0AM1881,FLAPER TORREZNOS SABOR IBERICO 60G 10U,CAJ,0.13,17.55,135.0
0AM1883,GALLO HARINA FREIR 1KG,UN,0.13,93.6,720.0
0AM1884,GALLO HARINA EXTRA 1KG,UN,0.13,93.6,720.0
0AM1885,GALLO HARINA REPOSTERIA 1KG,UN,0.13,93.6,720.0
0AM1898,HEINZ KETCHUP 460G,UN,0.06,79.8,1330.0
0AM1905,XPLICIT AZUCAR +AGIT BAMBU 7G  500U,CAJ,0.46,33.12,72.0
0AM1978,"MALDON SAL MARINA EN ESCAMAS 1,4 KG",UN,0.18,43.2,240.0
0AM2163,GALLINA BLANCA TOMATE TAMIZADO 4KG,UN,0.52,85.8,165.0
0AM2400,GALLINA BLANCA HUEVO EN POLVO 340G,UN,0.44,,
0AM2502,CHOVI KETCHUP 450G,UN,0.06,,
0AM2671,"HEINZ MAYONESA PROFESIONAL 4,8KG",CAJ,0.62,66.96,108.0
0AM2680,BAYMAR FILETE SALMON PARRILL OLIVA 160G,UN,0.02,5.98,299.0
0AM2691,HELLMANN.S MAYONESA CUBO 2 L,UN,0.26,70.2,270.0
0AM2698,NOCILLA GALLETA COOKIE HOST 40G 16U,CAJ,0.08,13.44,168.0
0AM2720,GALLO MACARRONES PLUMAS Nº6 250G 1U,UN,0.07,70.56,1008.0
0AM2725,GALLO GALET DE NAVIDAD AL HUEVO 225G 1U,UN,0.53,457.92,864.0
0AM2734,RIOJAVINA VINAGRE DE VINO TINTO 25CL 1U,UN,0.03,59.4,1980.0
